md_file,acordao,relatorio,voto
./md_files/ELEGIS-1712704246721.md,True,True,True
./md_files/ELEGIS-1720615078.md,True,True,False
./md_files/ELEGIS-1716570638.md,True,True,True
./md_files/ELEGIS-1715354235.md,True,True,True
./md_files/ELEGIS-1721922661.md,True,True,False
./md_files/ELEGIS-1720098495.md,True,True,True
./md_files/ELEGIS-1720097070.md,True,True,True
./md_files/ELEGIS-1714952240932.md,True,True,True
./md_files/ELEGIS-1717594484.md,True,True,True
./md_files/ELEGIS-1718176432.md,True,True,True
./md_files/ELEGIS-1721921831.md,True,True,False
./md_files/ELEGIS-1721316608.md,True,True,True
./md_files/ELEGIS-1706994538257.md,True,True,True
./md_files/ELEGIS-1718990803.md,True,True,True
./md_files/ELEGIS-1720612173.md,True,True,False
./md_files/ELEGIS-1713997617693.md,True,True,True
./md_files/ELEGIS-1720611896.md,True,True,False
./md_files/ELEGIS-1721924579.md,True,True,True
./md_files/ELEGIS-1717594158.md,True,True,True
./md_files/ELEGIS-1717594206.md,True,True,True
./md_files/ELEGIS-1721232968.md,True,True,True
./md_files/ELEGIS-1718988601.md,True,True,False
./md_files/ELEGIS-1713911512542.md,True,True,True
./md_files/ELEGIS-1713815985845.md,True,True,False
./md_files/ELEGIS-1720614048.md,True,True,False
./md_files/ELEGIS-1724074452.md,True,True,True
./md_files/ELEGIS-1718990958.md,True,True,True
./md_files/ELEGIS-1723570157.md,True,True,True
./md_files/ELEGIS-1721924397.md,True,True,True
./md_files/ELEGIS-1715352660.md,True,True,True
./md_files/ELEGIS-1715177461.md,True,True,True
./md_files/ELEGIS-1713911951529.md,True,True,True
./md_files/ELEGIS-1721922715.md,True,True,False
./md_files/ELEGIS-1710955322116.md,True,True,True
./md_files/ELEGIS-1714100900316.md,True,True,False
./md_files/ELEGIS-1720614987.md,True,True,False
./md_files/ELEGIS-1720097109.md,True,True,True
./md_files/ELEGIS-1724075436.md,False,True,True
./md_files/ELEGIS-1724252547.md,True,True,True
./md_files/ELEGIS-1720612714.md,True,True,False
./md_files/ELEGIS-1723569943.md,True,True,True
./md_files/ELEGIS-1708650197967.md,True,True,True
./md_files/ELEGIS-1720613644.md,True,True,False
./md_files/ELEGIS-1721316430.md,True,True,True
./md_files/ELEGIS-1721316818.md,True,True,True
./md_files/ELEGIS-1718990426.md,True,True,True
./md_files/ELEGIS-1706995108736.md,True,True,True
./md_files/ELEGIS-1713814020278.md,True,True,False
./md_files/ELEGIS-1721925930.md,True,True,True
./md_files/ELEGIS-1712624595834.md,True,True,True
./md_files/ELEGIS-1715353221.md,True,True,True
./md_files/ELEGIS-1712508792741.md,True,True,False
./md_files/ELEGIS-1712704520072.md,True,True,True
./md_files/ELEGIS-1721920538.md,True,True,False
./md_files/ELEGIS-1717595184.md,True,True,True
./md_files/ELEGIS-1709597503620.md,True,True,False
./md_files/ELEGIS-1721920202.md,True,True,False
./md_files/ELEGIS-1724075596.md,False,False,False
./md_files/ELEGIS-1709596482727.md,True,True,True
./md_files/ELEGIS-1721921637.md,True,True,True
./md_files/ELEGIS-1721925793.md,True,True,True
./md_files/ELEGIS-1724936580.md,True,True,False
./md_files/ELEGIS-1725027965.md,True,True,False
./md_files/ELEGIS-1721920490.md,True,True,False
./md_files/ELEGIS-1721922781.md,True,True,False
./md_files/ELEGIS-1707958384270.md,True,True,True
./md_files/ELEGIS-1713996924986.md,True,True,True
./md_files/ELEGIS-1708623343654.md,True,True,True
./md_files/ELEGIS-1720613015.md,True,True,False
./md_files/ELEGIS-1711575338720.md,True,True,True
./md_files/ELEGIS-1719900618.md,True,True,False
./md_files/ELEGIS-1714100861103.md,True,True,False
./md_files/ELEGIS-1717594582.md,True,True,True
./md_files/ELEGIS-1725880399.md,True,True,False
./md_files/ELEGIS-1721921742.md,True,True,False
./md_files/ELEGIS-1710955403182.md,True,True,True
./md_files/ELEGIS-1724076488.md,True,True,True
./md_files/ELEGIS-1717594344.md,True,True,True
./md_files/ELEGIS-1714953066375.md,True,True,True
./md_files/ELEGIS-1712509511816.md,True,True,True
./md_files/ELEGIS-1718964821.md,True,True,False
./md_files/ELEGIS-1720614106.md,True,True,False
./md_files/ELEGIS-1715593478.md,True,True,True
./md_files/ELEGIS-1715176409.md,True,True,True
./md_files/ELEGIS-1721923310.md,True,True,False
./md_files/ELEGIS-1721922613.md,True,True,False
./md_files/ELEGIS-1709596002259.md,True,True,True
./md_files/ELEGIS-1714953277662.md,True,True,True
./md_files/ELEGIS-1724937016.md,True,True,False
./md_files/ELEGIS-1712518302740.md,True,True,True
./md_files/ELEGIS-1724248933.md,True,True,True
./md_files/ELEGIS-1709596304204.md,True,True,True
./md_files/ELEGIS-1721233755.md,True,True,True
./md_files/ELEGIS-1720611793.md,True,True,False
./md_files/ELEGIS-1720613264.md,True,True,False
./md_files/ELEGIS-1725028044.md,True,True,False
./md_files/ELEGIS-1710974670522.md,True,True,True
./md_files/ELEGIS-1718964572.md,True,True,True
./md_files/ELEGIS-1721919165.md,True,True,False
./md_files/ELEGIS-1708651007190.md,True,True,True
./md_files/ELEGIS-1708626945738.md,True,True,True
./md_files/ELEGIS-1715352934.md,True,True,True
./md_files/ELEGIS-1721233522.md,True,True,True
./md_files/ELEGIS-1720614216.md,True,True,False
./md_files/ELEGIS-1721924678.md,True,True,True
./md_files/ELEGIS-1713911910124.md,True,True,True
./md_files/ELEGIS-1721924443.md,True,True,True
./md_files/ELEGIS-1722340065.md,True,True,True
./md_files/ELEGIS-1724248996.md,True,True,True
./md_files/ELEGIS-1712517962227.md,True,True,True
./md_files/ELEGIS-1721233471.md,True,True,True
./md_files/ELEGIS-1721921884.md,True,True,False
./md_files/ELEGIS-1713911287880.md,True,True,True
./md_files/ELEGIS-1724687513.md,True,True,True
./md_files/ELEGIS-1706994627637.md,True,True,True
./md_files/ELEGIS-1723570073.md,True,True,True
./md_files/ELEGIS-1720096830.md,True,True,True
./md_files/ELEGIS-1710974825154.md,True,True,True
./md_files/ELEGIS-1720612078.md,True,True,False
./md_files/ELEGIS-1713912038833.md,True,True,True
./md_files/ELEGIS-1715177413.md,True,True,True
./md_files/ELEGIS-1709596878926.md,True,True,True
